"id","game","event_type","created_at","team_name","player_name","related_player_name","result","minute","extra_minute","previous_player_event","previous_player_event_at","seconds_after_previous_event","player_id","related_player_id","participant_id","fixture_id"
116269480,Slovenia vs Serbia (2024-06-20),Substitution,2024-06-20 16:31:00.000,Slovenia,David Brekalo,Timi Max Elsnik,,90,1,,,,2823098,7159,18630,19032625
116269453,Slovenia vs Serbia (2024-06-20),Substitution,2024-06-20 16:22:00.000,Serbia,Veljko Birmancevic,Andrija Zivkovic,,82,0,,,,2510860,160928,18873,19032625
116269410,Slovenia vs Serbia (2024-06-20),Goal,2024-06-20 16:09:00.000,Slovenia,Zan Karnicnik,Timi Max Elsnik,"1-0",69,0,,,,688941,7159,18630,19032625
116269502,Slovenia vs Serbia (2024-06-20),Goal,2024-06-20 16:35:00.000,Serbia,Luka Jović,Ivan Ilić,"1-1",90,5,Yellowcard,2024-06-20 16:32:00.000,180.0,161284,1359363,18873,19032625
116269482,Slovenia vs Serbia (2024-06-20),Yellowcard,2024-06-20 16:32:00.000,Serbia,Luka Jović,,,90,2,Substitution,2024-06-20 16:04:00.000,1680.0,161284,,18873,19032625
116269391,Slovenia vs Serbia (2024-06-20),Substitution,2024-06-20 16:04:00.000,Serbia,Luka Jović,Dušan Vlahović,,64,0,,,,161284,177988,18873,19032625
116269382,Slovenia vs Serbia (2024-06-20),Yellowcard,2024-06-20 15:54:00.000,Serbia,Saša Lukić,,,54,0,,,,130248,,18873,19032625
116269431,Slovenia vs Serbia (2024-06-20),Substitution,2024-06-20 16:16:00.000,Slovenia,Benjamin Verbic,Petar Stojanović,,76,0,,,,84457,74146,18630,19032625
116269472,Slovenia vs Serbia (2024-06-20),Yellowcard,2024-06-20 16:27:00.000,Slovenia,Erik Janza,,,87,0,,,,81827,,18630,19032625
116269393,Slovenia vs Serbia (2024-06-20),Substitution,2024-06-20 16:04:00.000,Serbia,Sergej Milinković-Savić,Saša Lukić,,64,0,,,,62511,130248,18873,19032625
116269487,Slovenia vs Serbia (2024-06-20),Yellowcard,2024-06-20 16:33:00.000,Serbia,Mijat Gacinovic,,,90,3,Substitution,2024-06-20 15:46:00.000,2820.0,32537,,18873,19032625
116269356,Slovenia vs Serbia (2024-06-20),Substitution,2024-06-20 15:46:00.000,Serbia,Mijat Gacinovic,Filip Mladenovic,,46,0,,,,32537,32482,18873,19032625
116269202,Slovenia vs Serbia (2024-06-20),Yellowcard,2024-06-20 15:25:00.000,Serbia,Filip Mladenovic,,,25,0,,,,32482,,18873,19032625
116269394,Slovenia vs Serbia (2024-06-20),Substitution,2024-06-20 16:04:00.000,Slovenia,Jon Gorenc Stankovic,Jan Mlakar,,64,0,,,,3339,133994,18630,19032625
116378905,Croatia vs Italy (2024-06-24),Yellowcard,2024-06-24 22:39:00.000,Italy,Luciano Spalletti,,,90,9,,,,,,18658,19032620
116378779,Croatia vs Italy (2024-06-24),Yellowcard,2024-06-24 22:33:00.000,Italy,Riccardo Calafiori,,,90,3,,,,23278684,,18658,19032620
116378249,Croatia vs Italy (2024-06-24),Yellowcard,2024-06-24 21:24:00.000,Croatia,Luka Sucic,,,24,0,,,,22528446,,18588,19032620
116378800,Croatia vs Italy (2024-06-24),Yellowcard,2024-06-24 22:36:00.000,Italy,Nicolò Fagioli,,,90,6,Substitution,2024-06-24 22:21:00.000,900.0,4536538,,18658,19032620
116378665,Croatia vs Italy (2024-06-24),Substitution,2024-06-24 22:21:00.000,Croatia,Nicolò Fagioli,Luka Modric,,81,0,,,,4536538,268,18588,19032620
116378673,Croatia vs Italy (2024-06-24),Yellowcard,2024-06-24 22:22:00.000,Croatia,Josip Stanisic,,,82,0,,,,3862426,,18588,19032620
116378455,Croatia vs Italy (2024-06-24),Substitution,2024-06-24 21:46:00.000,Italy,Davide Frattesi,Lorenzo Pellegrini,,46,0,,,,134015,129946,18658,19032620
116378501,Croatia vs Italy (2024-06-24),Substitution,2024-06-24 21:57:00.000,Italy,Federico Chiesa,Federico Dimarco,,57,0,,,,129836,129842,18658,19032620
116378810,Croatia vs Italy (2024-06-24),Goal,2024-06-24 22:38:00.000,Italy,Mattia Zaccagni,Riccardo Calafiori,"1-1",90,8,Substitution,2024-06-24 22:21:00.000,1020.0,129677,23278684,18658,19032620
116378667,Croatia vs Italy (2024-06-24),Substitution,2024-06-24 22:21:00.000,Italy,Mattia Zaccagni,Matteo Darmian,,81,0,,,,129677,933,18658,19032620
116378594,Croatia vs Italy (2024-06-24),Yellowcard,2024-06-24 22:13:00.000,Croatia,Luka Ivanusec,,,73,0,Substitution,2024-06-24 22:10:00.000,180.0,74186,,18588,19032620
116378555,Croatia vs Italy (2024-06-24),Substitution,2024-06-24 22:10:00.000,Croatia,Luka Ivanusec,Mateo Kovacic,,70,0,,,,74186,73147,18588,19032620
116378655,Croatia vs Italy (2024-06-24),Substitution,2024-06-24 22:20:00.000,Italy,Lovro Majer,Jorginho,,80,0,,,,74116,129511,18658,19032620
116378747,Croatia vs Italy (2024-06-24),Substitution,2024-06-24 22:30:00.000,Croatia,Josip Juranovic,Andrej Kramaric,,90,0,,,,74000,1232,18588,19032620
116378757,Croatia vs Italy (2024-06-24),Yellowcard,2024-06-24 22:31:00.000,Croatia,Marcelo Brozovic,,,90,1,,,,73004,,18588,19032620
116378633,Croatia vs Italy (2024-06-24),Yellowcard,2024-06-24 22:18:00.000,Croatia,Marin Pongracic,,,78,0,,,,36681,,18588,19032620
116378454,Croatia vs Italy (2024-06-24),Substitution,2024-06-24 21:46:00.000,Croatia,Ante Budimir,Mario Pasalic,,46,0,,,,34700,73603,18588,19032620
116378558,Croatia vs Italy (2024-06-24),Substitution,2024-06-24 22:10:00.000,Croatia,I. Perišić,Luka Sucic,,70,0,,,,31002,22528446,18588,19032620
116378599,Croatia vs Italy (2024-06-24),Substitution,2024-06-24 22:15:00.000,Italy,Gianluca Scamacca,Giacomo Raspadori,,75,0,,,,30178,13238937,18658,19032620
