,Model,Location,Miles,Prices,Year,Scraped_On,Dealership
37, Mitsubishi mirage g4 ES Sedan 4D,"Cincinnati, OH",113000.0,"$4,000",2017,2024-07-01,False
38, Scion Hatchback Coupe 2D,"Covington, KY",113000.0,"$7,200",2014,2024-07-01,False
39, Honda accord se,"Covington, KY",159000.0,"$5,950",2011,2024-07-01,False
40, Nissan altima 2.5 S Sedan 4D,"Cincinnati, OH",75000.0,"$16,000",2020,2024-07-01,False
41, Toyota camry   !!!down payment!!!,"Cincinnati, OH",131000.0,"$3,500",2017,2024-07-01,False
42, Nissan altima 2.5 Sedan 4D,"Fort Thomas, KY",159000.0,"$5,000",2012,2024-07-01,False
43, Hyundai sonata Limited Sedan 4D,"Cincinnati, OH",147000.0,"$4,200",2011,2024-07-01,False
44, Honda accord EX-L Sedan 4D,"Cincinnati, OH",140000.0,"$5,990",2011,2024-07-01,False
45, Nissan altima 2.5l l4 fwd,"Cincinnati, OH",82000.0,"$11,993",2018,2024-07-01,False
46, Hyundai elantra,"Cincinnati, OH",136000.0,"$1,500",2016,2024-07-01,False
47, Toyota prius ii,"Covington, KY",182000.0,"$6,950",2012,2024-07-01,False
48, Kia forte EX Sedan 4D,"Cincinnati, OH",142000.0,"$4,900",2014,2024-07-01,False
49, Chevrolet cruze LS Sedan 4D,"Florence, KY",137000.0,"$4,000",2013,2024-07-01,False
50, Hyundai elantra,"Cincinnati, OH",77000.0,"$1,000",2017,2024-07-01,False
51, Chevrolet cruze LT Sedan 4D,"Cincinnati, OH",95000.0,"$7,200",2017,2024-07-01,False
52, Honda civic,"Lebanon, OH",109000.0,"$6,450",2007,2024-07-01,False
53, Toyota camry SE Sedan 4D,"Florence, KY",168000.0,"$5,500",2007,2024-07-01,False
