,Unnamed: 0,Model,Location,Miles,Prices,Year,Dealership,Manufacturer,Model_name,Mileage_Category
192,192,Nissan versa sv (down-payment),"Cincinnati, OH",83000.0,1500,2019,False,Nissan,versa sv (down-payment),50k-100k
193,193,Kia optima EX Sedan 4D,"Cincinnati, OH",146000.0,4000,2011,False,Kia,optima EX Sedan 4D,100k-150k
194,194,Volkswagen passat Komfort Sedan 4D,"Latonia, KY",77000.0,2000,2009,False,Volkswagen,passat Komfort Sedan 4D,50k-100k
195,195,Dodge dart SXT Sedan 4D,"West Chester, OH",138000.0,5500,2013,False,Dodge,dart SXT Sedan 4D,100k-150k
196,196,Honda accord EX Sedan 4D,"La Grange, KY",180000.0,5900,2011,False,Honda,accord EX Sedan 4D,Over 150k
197,197,Hyundai sonata,"Butler, KY",146000.0,3000,2004,False,Hyundai,sonata,100k-150k
198,198,Kia Soul,"Cincinnati, OH",80000.0,7999,2019,True,Kia,Soul,50k-100k
199,199,Infiniti q50,"Independence, KY",62000.0,15992,2016,False,Infiniti,q50,50k-100k
200,200,Chrysler 200 Touring Sedan 4D,"Cincinnati, OH",130000.0,3300,2013,False,Chrysler,200 Touring Sedan 4D,100k-150k
201,201,Honda civic Sport Sedan 4D,"Mason, OH",20000.0,18000,2022,False,Honda,civic Sport Sedan 4D,Under 50k
202,202,Chrysler 200 Limited Sedan 4D,"Cincinnati, OH",112000.0,5495,2015,True,Chrysler,200 Limited Sedan 4D,100k-150k
203,203,Jaguar s-type Sedan 4D,"Hamilton, OH",83000.0,8650,2008,False,Jaguar,s-type Sedan 4D,50k-100k
204,204,Nissan altima 2.5 S Coupe 2D,"Cincinnati, OH",160000.0,3900,2013,False,Nissan,altima 2.5 S Coupe 2D,Over 150k
205,205,Toyota highlander,"Cincinnati, OH",150000.0,8000,2011,False,Toyota,highlander,100k-150k
206,206,Toyota rav4 Sport SUV 4D,"Milford, OH",119000.0,7900,2012,False,Toyota,rav4 Sport SUV 4D,100k-150k
207,207,Toyota highlander Limited Sport Utility 4D,"Newport, KY",155000.0,14900,2014,False,Toyota,highlander Limited Sport Utility 4D,Over 150k
208,208,Honda cr-v EX-L Sport Utility 4D,"Cincinnati, OH",212000.0,6995,2013,False,Honda,cr-v EX-L Sport Utility 4D,Over 150k
209,209,Toyota venza Wagon 4D,"Cincinnati, OH",158000.0,7000,2011,False,Toyota,venza Wagon 4D,Over 150k
210,210,BMW 5 series 535i Sedan 4D,"Cincinnati, OH",135000.0,7999,2012,False,BMW,5 series 535i Sedan 4D,100k-150k
211,211,Mazda mazda5 Sport Minivan 4D,"Shelbyville, KY",57000.0,7500,2010,False,Mazda,mazda5 Sport Minivan 4D,50k-100k
212,212,Kia forte S Sedan 4D,"Hamilton, OH",113000.0,500,2017,False,Kia,forte S Sedan 4D,100k-150k
213,213,Honda cr-z EX Coupe 2D,"Springfield, OH",144000.0,8450,2012,False,Honda,cr-z EX Coupe 2D,100k-150k
214,214,Chevrolet sonic,"Cincinnati, OH",97000.0,3000,2015,False,Chevrolet,sonic,50k-100k
215,215,Nissan altima 2.5 S Sedan 4D,"Fort Mitchell, KY",166000.0,3300,2010,False,Nissan,altima 2.5 S Sedan 4D,Over 150k
216,216,Ford focus SE Sedan 4D,"Cincinnati, OH",123000.0,2995,2012,False,Ford,focus SE Sedan 4D,100k-150k
217,217,Hyundai genesis 4.6 Sedan 4D,"Cincinnati, OH",160000.0,4950,2011,False,Hyundai,genesis 4.6 Sedan 4D,Over 150k
218,218,Nissan sentra,"Louisville, KY",175000.0,2000,2017,False,Nissan,sentra,Over 150k
219,219,Jeep grand cherokee,"Cincinnati, OH",128000.0,3000,2016,False,Jeep,grand cherokee,100k-150k
220,220,Volkswagen cc Sport Sedan 4D,"Cincinnati, OH",131000.0,4500,2009,False,Volkswagen,cc Sport Sedan 4D,100k-150k
221,221,Hyundai elantra SE Sedan 4D,"Cincinnati, OH",80000.0,7000,2015,False,Hyundai,elantra SE Sedan 4D,50k-100k
222,222,Hyundai elantra SEL Sedan 4D,"Cincinnati, OH",88000.0,9900,2019,False,Hyundai,elantra SEL Sedan 4D,50k-100k
223,223,Honda civic LX Sedan 4D,"Independence, KY",110000.0,8000,2012,False,Honda,civic LX Sedan 4D,100k-150k
224,224,Honda civic LX Sedan 4D,"Morrow, OH",109000.0,6400,2012,False,Honda,civic LX Sedan 4D,100k-150k
225,225,Toyota corolla,"West Chester, OH",89000.0,10495,2016,False,Toyota,corolla,50k-100k
226,226,Kia optima LX Sedan 4D,"Miamisburg, OH",85000.0,5600,2014,False,Kia,optima LX Sedan 4D,50k-100k
227,227,Hyundai sonata SE Sedan 4D,"Cincinnati, OH",90000.0,7500,2016,False,Hyundai,sonata SE Sedan 4D,50k-100k
228,228,Volkswagen jetta 1.4T R-Line Sedan 4D,"Florence, KY",38000.0,16799,2020,False,Volkswagen,jetta 1.4T R-Line Sedan 4D,Under 50k
229,229,Nissan sentra SR Sedan 4D,"Florence, KY",98000.0,4600,2016,False,Nissan,sentra SR Sedan 4D,50k-100k
230,230,Ford focus SE,"Nicholasville, KY",55000.0,6999,2017,False,Ford,focus SE,50k-100k
231,231,Honda accord LX Sedan 4D,"Simpsonville, KY",103000.0,11950,2015,False,Honda,accord LX Sedan 4D,100k-150k
232,232,Nissan altima 3.5 SL Sedan 4D,"Maysville, KY",91000.0,7500,2013,False,Nissan,altima 3.5 SL Sedan 4D,50k-100k
233,233,Toyota camry LE Sedan 4D,"Florence, KY",98000.0,8399,2003,False,Toyota,camry LE Sedan 4D,50k-100k
